time,piece_seq,frame,piece_id,row,col,rotation,leftmost_col,col_h_0,col_h_1,col_h_2,col_h_3,col_h_4,col_h_5,col_h_6,col_h_7,col_h_8,col_h_9,locked,lines_cleared
1761421798.0551949,0,0,5,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1761421798.2606452,0,1,5,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1761421798.464305,0,2,5,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1761421798.5106702,0,3,5,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1761421798.5107021,0,4,5,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1761421798.716365,0,5,5,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1761421798.9227982,0,6,5,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1761421799.033696,0,7,5,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421799.0337431,0,8,5,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421799.2064629,0,9,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1761421799.206508,0,10,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1761421799.412292,0,11,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1761421799.493542,0,12,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1761421799.493621,1,0,7,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1761421799.49364,1,1,7,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1761421799.6964679,1,2,7,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1761421799.7816288,1,3,7,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1761421799.781714,1,4,7,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1761421799.943167,1,5,7,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421799.943212,1,6,7,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421800.085909,1,7,7,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1761421800.0859368,1,8,7,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1761421800.286434,1,9,7,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421800.2864718,1,10,7,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421800.4588401,1,11,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1761421800.458854,1,12,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1761421800.664165,1,13,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1761421800.732886,1,14,7,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1761421800.732915,1,15,7,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1761421800.732932,1,16,7,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1761421800.732948,1,17,7,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1761421800.732964,1,18,7,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1761421800.732979,1,19,7,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1761421800.732996,1,20,7,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1761421800.733012,1,21,7,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1761421800.733027,1,22,7,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1761421800.7330492,1,23,7,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1761421800.7331269,1,24,7,18,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1761421800.733153,2,0,6,0,4,0,3,2,3,0,0,0,0,0,0,0,0,0,0
1761421800.938696,2,1,6,1,4,0,3,2,3,0,0,0,0,0,0,0,0,0,0
1761421801.143869,2,2,6,2,4,0,3,2,3,0,0,0,0,0,0,0,0,0,0
1761421801.257695,2,3,6,2,4,1,4,2,3,0,0,0,0,0,0,0,0,0,0
1761421801.2577229,2,4,6,3,4,1,4,2,3,0,0,0,0,0,0,0,0,0,0
1761421801.4633238,2,5,6,4,4,1,4,2,3,0,0,0,0,0,0,0,0,0,0
1761421801.567303,2,6,6,4,4,2,3,2,3,0,0,0,0,0,0,0,0,0,0
1761421801.567341,2,7,6,5,4,2,3,2,3,0,0,0,0,0,0,0,0,0,0
1761421801.771756,2,8,6,6,4,2,3,2,3,0,0,0,0,0,0,0,0,0,0
1761421801.9775,2,9,6,7,4,2,3,2,3,0,0,0,0,0,0,0,0,0,0
1761421802.179378,2,10,6,8,4,2,3,2,3,0,0,0,0,0,0,0,0,0,0
1761421802.385324,2,11,6,9,4,2,3,2,3,0,0,0,0,0,0,0,0,0,0
1761421802.587539,2,12,6,10,4,2,3,2,3,0,0,0,0,0,0,0,0,0,0
1761421802.7883031,2,13,6,11,4,2,3,2,3,0,0,0,0,0,0,0,0,0,0
1761421802.9940648,2,14,6,12,4,2,3,2,3,0,0,0,0,0,0,0,0,0,0
1761421803.199556,2,15,6,13,4,2,3,2,3,0,0,0,0,0,0,0,0,0,0
1761421803.404455,2,16,6,14,4,2,3,2,3,0,0,0,0,0,0,0,0,0,0
1761421803.6109838,2,17,6,15,4,2,3,2,3,0,0,0,0,0,0,0,0,0,0
1761421803.749824,2,18,6,15,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0
1761421803.749866,2,19,6,16,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0
1761421803.9555578,2,20,6,17,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0
1761421804.157079,2,21,6,18,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0
1761421804.2663932,2,22,6,19,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0
1761421804.444005,2,23,6,19,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0
1761421804.444232,2,24,6,19,2,2,1,2,3,0,0,0,0,0,0,0,0,1,0
1761421804.4443169,3,0,3,0,4,0,3,2,3,2,1,0,0,0,0,0,0,0,0
1761421804.573783,3,1,3,0,3,0,2,2,3,2,1,0,0,0,0,0,0,0,0
1761421804.573924,3,2,3,1,3,0,2,2,3,2,1,0,0,0,0,0,0,0,0
