piece_seq,frame,piece_id,row,col,rotation,leftmost_col,col_h_0,col_h_1,col_h_2,col_h_3,col_h_4,col_h_5,col_h_6,col_h_7,col_h_8,col_h_9,locked,lines_cleared
0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
0,2,4,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
0,3,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
0,4,4,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0
0,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0
0,6,4,5,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0
0,7,4,4,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
0,8,4,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
0,9,4,6,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
0,10,4,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
0,11,4,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
0,12,4,7,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
0,13,4,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,14,4,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,15,4,8,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,16,4,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,17,4,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,18,4,9,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,19,4,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,20,4,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,21,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23,4,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,24,4,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,25,4,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,26,4,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,27,4,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,28,4,11,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,29,4,12,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,30,4,11,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,31,4,12,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,32,4,13,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,33,4,12,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
0,34,4,13,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
0,35,4,14,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
0,36,4,13,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
0,37,4,14,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
0,38,4,14,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,39,4,15,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,40,4,14,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,41,4,15,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,42,4,16,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,43,4,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,44,4,16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,45,4,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,46,4,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,47,4,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,48,4,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,49,4,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,50,4,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,51,4,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,52,4,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,53,4,18,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,6,0,4,0,3,2,2,0,0,0,0,0,0,0,0,0,0
1,1,6,1,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0
1,2,6,2,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0
1,3,6,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0
1,4,6,3,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0
1,5,6,4,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0
1,6,6,5,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0
