piece_seq,frame,piece_id,row,col,rotation,leftmost_col,col_h_0,col_h_1,col_h_2,col_h_3,col_h_4,col_h_5,col_h_6,col_h_7,col_h_8,col_h_9,locked,lines_cleared
0,0,6,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,1,6,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,2,6,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,3,6,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,4,6,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
0,5,6,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
0,6,6,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
0,7,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,6,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,6,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,6,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
0,11,6,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
0,12,6,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
0,13,6,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,14,6,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,15,6,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,16,6,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,17,6,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,18,6,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,19,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,6,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21,6,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22,6,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23,6,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24,6,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25,6,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,26,6,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,27,6,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,28,6,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,29,6,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,30,6,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,31,6,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32,6,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,33,6,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34,6,12,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,35,6,13,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,36,6,14,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,37,6,13,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,38,6,14,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,39,6,15,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,40,6,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,41,6,15,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,42,6,16,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,43,6,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,44,6,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45,6,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,46,6,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,47,6,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48,6,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,49,6,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,50,6,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,51,6,18,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,0,4,0,3,0,3,2,0,0,0,0,0,0,0,0,0
1,1,1,1,3,3,3,0,3,2,0,0,0,0,0,0,0,0,0
1,2,1,2,3,3,3,0,3,2,0,0,0,0,0,0,0,0,0
1,3,1,3,3,3,3,0,3,2,0,0,0,0,0,0,0,0,0
1,4,1,3,2,3,2,0,3,2,0,0,0,0,0,0,0,0,0
1,5,1,4,2,3,2,0,3,2,0,0,0,0,0,0,0,0,0
1,6,1,5,2,3,2,0,3,2,0,0,0,0,0,0,0,0,0
1,7,1,4,3,3,3,0,3,2,0,0,0,0,0,0,0,0,0
1,8,1,5,3,3,3,0,3,2,0,0,0,0,0,0,0,0,0
1,9,1,6,3,3,3,0,3,2,0,0,0,0,0,0,0,0,0
1,10,1,5,3,0,2,0,3,2,0,0,0,0,0,0,0,0,0
1,11,1,6,3,0,2,0,3,2,0,0,0,0,0,0,0,0,0
1,12,1,7,3,0,2,0,3,2,0,0,0,0,0,0,0,0,0
1,13,1,6,2,0,1,0,3,2,0,0,0,0,0,0,0,0,0
1,14,1,7,2,0,1,0,3,2,0,0,0,0,0,0,0,0,0
1,15,1,8,2,0,1,0,3,2,0,0,0,0,0,0,0,0,0
1,16,1,7,1,3,1,0,3,2,0,0,0,0,0,0,0,0,0
1,17,1,8,1,3,1,0,3,2,0,0,0,0,0,0,0,0,0
1,18,1,9,1,3,1,0,3,2,0,0,0,0,0,0,0,0,0
1,19,1,8,2,0,1,0,3,2,0,0,0,0,0,0,0,0,0
1,20,1,9,2,0,1,0,3,2,0,0,0,0,0,0,0,0,0
1,21,1,10,2,0,1,0,3,2,0,0,0,0,0,0,0,0,0
1,22,1,9,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0
1,23,1,10,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0
1,24,1,11,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0
1,25,1,10,1,1,2,0,3,2,0,0,0,0,0,0,0,0,0
1,26,1,11,1,1,2,0,3,2,0,0,0,0,0,0,0,0,0
1,27,1,12,1,1,2,0,3,2,0,0,0,0,0,0,0,0,0
1,28,1,11,1,2,0,0,3,2,0,0,0,0,0,0,0,0,0
1,29,1,12,1,2,0,0,3,2,0,0,0,0,0,0,0,0,0
1,30,1,13,1,2,0,0,3,2,0,0,0,0,0,0,0,0,0
1,31,1,12,2,2,1,0,3,2,0,0,0,0,0,0,0,0,0
