piece_seq,frame,piece_id,row,col,rotation,leftmost_col,col_h_0,col_h_1,col_h_2,col_h_3,col_h_4,col_h_5,col_h_6,col_h_7,col_h_8,col_h_9,locked,lines_cleared
0,0,6,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,1,6,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,2,6,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,3,6,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,4,6,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,5,6,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,6,6,6,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,7,6,6,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,8,6,7,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,9,6,8,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,10,6,8,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0
0,11,6,9,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0
0,12,6,10,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0
0,13,6,10,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0
0,14,6,11,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0
0,15,6,12,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0
0,16,6,13,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0
0,17,6,14,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0
0,18,6,14,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
0,19,6,15,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
0,20,6,16,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
0,21,6,17,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
0,22,6,18,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
0,23,6,18,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,24,6,19,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,25,6,19,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,26,6,19,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,2,0,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
1,1,2,1,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
1,2,2,2,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
1,3,2,3,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
1,4,2,4,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
1,5,2,5,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
1,6,2,5,3,0,2,0,1,2,1,0,0,0,0,0,0,0,0
1,7,2,6,3,0,2,0,1,2,1,0,0,0,0,0,0,0,0
1,8,2,7,3,0,2,0,1,2,1,0,0,0,0,0,0,0,0
1,9,2,7,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
1,10,2,8,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
1,11,2,9,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
1,12,2,9,4,1,4,0,1,2,1,0,0,0,0,0,0,0,0
1,13,2,10,4,1,4,0,1,2,1,0,0,0,0,0,0,0,0
1,14,2,10,4,2,3,0,1,2,1,0,0,0,0,0,0,0,0
1,15,2,11,4,2,3,0,1,2,1,0,0,0,0,0,0,0,0
1,16,2,12,4,2,3,0,1,2,1,0,0,0,0,0,0,0,0
1,17,2,13,4,2,3,0,1,2,1,0,0,0,0,0,0,0,0
1,18,2,13,5,2,4,0,1,2,1,0,0,0,0,0,0,0,0
1,19,2,14,5,2,4,0,1,2,1,0,0,0,0,0,0,0,0
1,20,2,15,5,2,4,0,1,2,1,0,0,0,0,0,0,0,0
1,21,2,15,6,2,5,0,1,2,1,0,0,0,0,0,0,0,0
1,22,2,16,6,2,5,0,1,2,1,0,0,0,0,0,0,0,0
1,23,2,17,6,2,5,0,1,2,1,0,0,0,0,0,0,0,0
1,24,2,17,7,2,6,0,1,2,1,0,0,0,0,0,0,0,0
1,25,2,18,7,2,6,0,1,2,1,0,0,0,0,0,0,0,0
1,26,2,19,7,2,6,0,1,2,1,0,0,0,0,0,0,0,0
1,27,2,19,8,2,7,0,1,2,1,0,0,0,0,0,0,0,0
1,28,2,19,8,2,7,0,1,2,1,0,0,0,0,0,0,1,0
2,0,1,0,4,0,3,0,1,2,1,0,0,0,1,1,2,0,0
2,1,1,1,4,0,3,0,1,2,1,0,0,0,1,1,2,0,0
2,2,1,2,4,0,3,0,1,2,1,0,0,0,1,1,2,0,0
2,3,1,3,4,0,3,0,1,2,1,0,0,0,1,1,2,0,0
2,4,1,4,4,0,3,0,1,2,1,0,0,0,1,1,2,0,0
2,5,1,4,4,1,5,0,1,2,1,0,0,0,1,1,2,0,0
2,6,1,5,4,1,5,0,1,2,1,0,0,0,1,1,2,0,0
2,7,1,5,5,1,6,0,1,2,1,0,0,0,1,1,2,0,0
2,8,1,6,5,1,6,0,1,2,1,0,0,0,1,1,2,0,0
2,9,1,7,5,1,6,0,1,2,1,0,0,0,1,1,2,0,0
2,10,1,8,5,1,6,0,1,2,1,0,0,0,1,1,2,0,0
2,11,1,8,4,1,5,0,1,2,1,0,0,0,1,1,2,0,0
2,12,1,9,4,1,5,0,1,2,1,0,0,0,1,1,2,0,0
2,13,1,9,3,1,4,0,1,2,1,0,0,0,1,1,2,0,0
2,14,1,10,3,1,4,0,1,2,1,0,0,0,1,1,2,0,0
2,15,1,10,2,1,3,0,1,2,1,0,0,0,1,1,2,0,0
2,16,1,11,2,1,3,0,1,2,1,0,0,0,1,1,2,0,0
