piece_seq,frame,piece_id,row,col,rotation,leftmost_col,col_h_0,col_h_1,col_h_2,col_h_3,col_h_4,col_h_5,col_h_6,col_h_7,col_h_8,col_h_9,locked,lines_cleared
0,0,2,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,3,2,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,4,2,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,5,2,4,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
0,6,2,5,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
0,7,2,6,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
0,8,2,7,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
0,9,2,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
0,10,2,8,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
0,11,2,9,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
0,12,2,9,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,13,2,10,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,14,2,10,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
0,15,2,11,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
0,16,2,12,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
0,17,2,12,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,18,2,13,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,19,2,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,20,2,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,21,2,14,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
0,22,2,15,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
0,23,2,16,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
0,24,2,17,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
0,25,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,26,2,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,27,2,18,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,7,0,4,0,3,0,3,1,0,0,0,0,0,0,0,0,0
1,1,7,0,3,0,2,0,3,1,0,0,0,0,0,0,0,0,0
1,2,7,1,3,0,2,0,3,1,0,0,0,0,0,0,0,0,0
1,3,7,2,3,0,2,0,3,1,0,0,0,0,0,0,0,0,0
1,4,7,3,3,0,2,0,3,1,0,0,0,0,0,0,0,0,0
1,5,7,3,4,0,3,0,3,1,0,0,0,0,0,0,0,0,0
1,6,7,4,4,0,3,0,3,1,0,0,0,0,0,0,0,0,0
1,7,7,5,4,0,3,0,3,1,0,0,0,0,0,0,0,0,0
1,8,7,6,4,0,3,0,3,1,0,0,0,0,0,0,0,0,0
1,9,7,7,4,0,3,0,3,1,0,0,0,0,0,0,0,0,0
1,10,7,8,4,0,3,0,3,1,0,0,0,0,0,0,0,0,0
1,11,7,9,4,0,3,0,3,1,0,0,0,0,0,0,0,0,0
1,12,7,10,4,0,3,0,3,1,0,0,0,0,0,0,0,0,0
1,13,7,11,4,0,3,0,3,1,0,0,0,0,0,0,0,0,0
1,14,7,12,4,0,3,0,3,1,0,0,0,0,0,0,0,0,0
1,15,7,13,4,0,3,0,3,1,0,0,0,0,0,0,0,0,0
1,16,7,14,4,0,3,0,3,1,0,0,0,0,0,0,0,0,0
1,17,7,15,4,0,3,0,3,1,0,0,0,0,0,0,0,0,0
1,18,7,16,4,0,3,0,3,1,0,0,0,0,0,0,0,0,0
1,19,7,17,4,0,3,0,3,1,0,0,0,0,0,0,0,0,0
1,20,7,18,4,0,3,0,3,1,0,0,0,0,0,0,0,0,0
1,21,7,18,4,0,3,0,3,1,0,0,0,0,0,0,0,1,0
2,0,5,0,4,0,3,0,3,1,2,2,1,0,0,0,0,0,0
2,1,5,1,4,0,3,0,3,1,2,2,1,0,0,0,0,0,0
2,2,5,2,4,0,3,0,3,1,2,2,1,0,0,0,0,0,0
2,3,5,3,4,0,3,0,3,1,2,2,1,0,0,0,0,0,0
2,4,5,4,4,0,3,0,3,1,2,2,1,0,0,0,0,0,0
2,5,5,4,4,1,4,0,3,1,2,2,1,0,0,0,0,0,0
2,6,5,5,4,1,4,0,3,1,2,2,1,0,0,0,0,0,0
2,7,5,6,4,1,4,0,3,1,2,2,1,0,0,0,0,0,0
2,8,5,6,5,1,5,0,3,1,2,2,1,0,0,0,0,0,0
2,9,5,7,5,1,5,0,3,1,2,2,1,0,0,0,0,0,0
2,10,5,8,5,1,5,0,3,1,2,2,1,0,0,0,0,0,0
2,11,5,8,6,1,6,0,3,1,2,2,1,0,0,0,0,0,0
2,12,5,9,6,1,6,0,3,1,2,2,1,0,0,0,0,0,0
2,13,5,10,6,1,6,0,3,1,2,2,1,0,0,0,0,0,0
2,14,5,11,6,1,6,0,3,1,2,2,1,0,0,0,0,0,0
