piece_seq,frame,piece_id,row,col,rotation,leftmost_col,col_h_0,col_h_1,col_h_2,col_h_3,col_h_4,col_h_5,col_h_6,col_h_7,col_h_8,col_h_9,locked,lines_cleared
0,0,2,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,3,2,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,4,2,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,5,2,4,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
0,6,2,5,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
0,7,2,5,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
0,8,2,6,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
0,9,2,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
0,10,2,7,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,11,2,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,12,2,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,13,2,9,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,14,2,10,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,15,2,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,2,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,2,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,2,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,2,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,2,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21,2,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22,2,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23,2,18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24,2,19,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25,2,19,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,4,0,4,0,4,1,1,2,0,0,0,0,0,0,0,0,0
1,1,4,1,4,0,4,1,1,2,0,0,0,0,0,0,0,0,0
1,2,4,2,4,0,4,1,1,2,0,0,0,0,0,0,0,0,0
1,3,4,3,4,0,4,1,1,2,0,0,0,0,0,0,0,0,0
1,4,4,4,4,0,4,1,1,2,0,0,0,0,0,0,0,0,0
1,5,4,5,4,0,4,1,1,2,0,0,0,0,0,0,0,0,0
1,6,4,6,4,0,4,1,1,2,0,0,0,0,0,0,0,0,0
1,7,4,6,3,0,3,1,1,2,0,0,0,0,0,0,0,0,0
1,8,4,7,3,0,3,1,1,2,0,0,0,0,0,0,0,0,0
1,9,4,8,3,0,3,1,1,2,0,0,0,0,0,0,0,0,0
1,10,4,9,3,0,3,1,1,2,0,0,0,0,0,0,0,0,0
1,11,4,10,3,0,3,1,1,2,0,0,0,0,0,0,0,0,0
1,12,4,11,3,0,3,1,1,2,0,0,0,0,0,0,0,0,0
1,13,4,12,3,0,3,1,1,2,0,0,0,0,0,0,0,0,0
1,14,4,13,3,0,3,1,1,2,0,0,0,0,0,0,0,0,0
1,15,4,13,2,0,2,1,1,2,0,0,0,0,0,0,0,0,0
1,16,4,14,2,0,2,1,1,2,0,0,0,0,0,0,0,0,0
1,17,4,15,2,0,2,1,1,2,0,0,0,0,0,0,0,0,0
1,18,4,15,3,0,3,1,1,2,0,0,0,0,0,0,0,0,0
1,19,4,16,3,0,3,1,1,2,0,0,0,0,0,0,0,0,0
1,20,4,17,3,0,3,1,1,2,0,0,0,0,0,0,0,0,0
1,21,4,18,3,0,3,1,1,2,0,0,0,0,0,0,0,0,0
1,22,4,18,3,0,3,1,1,2,0,0,0,0,0,0,0,1,0
2,0,7,0,4,0,3,1,1,2,2,2,0,0,0,0,0,0,0
2,1,7,1,4,0,3,1,1,2,2,2,0,0,0,0,0,0,0
2,2,7,2,4,0,3,1,1,2,2,2,0,0,0,0,0,0,0
2,3,7,3,4,0,3,1,1,2,2,2,0,0,0,0,0,0,0
2,4,7,4,4,0,3,1,1,2,2,2,0,0,0,0,0,0,0
2,5,7,5,4,0,3,1,1,2,2,2,0,0,0,0,0,0,0
2,6,7,6,4,0,3,1,1,2,2,2,0,0,0,0,0,0,0
2,7,7,6,5,0,4,1,1,2,2,2,0,0,0,0,0,0,0
2,8,7,7,5,0,4,1,1,2,2,2,0,0,0,0,0,0,0
2,9,7,8,5,0,4,1,1,2,2,2,0,0,0,0,0,0,0
2,10,7,9,5,0,4,1,1,2,2,2,0,0,0,0,0,0,0
2,11,7,9,6,0,5,1,1,2,2,2,0,0,0,0,0,0,0
2,12,7,10,6,0,5,1,1,2,2,2,0,0,0,0,0,0,0
2,13,7,11,6,0,5,1,1,2,2,2,0,0,0,0,0,0,0
2,14,7,12,6,0,5,1,1,2,2,2,0,0,0,0,0,0,0
2,15,7,12,6,1,6,1,1,2,2,2,0,0,0,0,0,0,0
